"review","rating","produk","packaging","pengiriman","general"
"Mantap banget, pengiriman cepat, barang sesuai dengan gambar dan deskripsi yang ada. Hanya pada saat pengiriman, barang tidak dilindungi oleh bubble wrap, sempat khawatir rusak dll. Tapi bisa berjalan dengan baik. Thanks. ☺","5",1,-1,1,0
"kualitas airpods sangat sangat bagus, pengguna apple harus punya","5",1,0,0,0
"Produk berfungsi dengan sangat baik, cuma pengiriman agak ,terlambat di first logistic nya seperti nya","5",1,0,-1,0
"Packing rapi,  barang original dan berfungsi dengan baik.  Semoga awet.  Thanks BliBli

","5",1,1,0,0
"pengiriman cepat dan sesuai ekspektasi, thanks blibli","5",0,0,1,0
"Anker salah satu kabel untuk gadget Anda yg tidak perlu diragukan kualitasnya, jika Anda mencari kabel yg awet, merk ini salah satu yg direkomendasikan. ","5",1,0,0,0
"Good. Pengiriman cepat. Pesan pagi datang sore","5",0,0,1,0
"Barangnya bagus, packing pengiriman hanya memakai bubble wrap tapi aman sih isinya.","5",1,1,0,0
"Pengiriman super cepat. Barang sesuai deskripsi. Harga terbaik. Terima kasih","5",1,0,1,0
"Terima kasih Blibli untuk menggratiskan ongkir hehhe.. apalagi kalau nyampe nya cepat , Mantap dah,  .............","5",0,0,1,0
"Packing kayu, barang datang dengan baik. Tp blm dibuka, pengiriman 4 hari sampai.","5",0,1,0,0
"Barang berfungsi dengan baik walaupun pengiriman sangat lama biasanya maksimal 3 hari. Terimakasih","5",1,0,-1,0
"barang sudah diterima dan pengirimannya super cepat.dan.moga awet","5",0,0,1,0
"fast delivery, biasa langsung belanja ke toko KCC nya langsung, thanks","5",0,0,1,0
"monitornya bagus, pengiriman agak lambat karena bukan dari jakarta.","5",1,0,-1,0
"Monitor LG Produknya datang dengan cepat hari ini pesan besok Datang. Terima kasih Blibli","5",0,0,1,0
"Barang sudah tiba, kemasan bagus , pengiriman cepat.. ","5",0,1,1,0
"barang sudah diterima dengan baik, mantap blibli!","5",0,0,0,1
"Gilaaaa kamu bli....,, pesenanku cm sehari doang sampe ke tangan ku,,, cepettt,, barang nya baguuus ","5",1,0,1,0
"Barang ori, pelayanan cepat. Over all memuaskan.","5",1,0,1,0
"barang sudah diterima dan berfungsi dengan baik

Thx","5",1,0,0,0
"Flashdisknya belom dicoba,  semoga kualitas oke krn untuk aspek lain sdh juara semua.
Pengiriman super cepet, so far yg plg cepat slm belanja di blibli. 
Thanks 🙏","5",0,0,1,0
"Barang sudah diterima, pengiriman cepat. Semoga kualitasnya memuaskan","5",0,0,1,0
"barang bagus, dikemas dengan baik, pengiriman sagat cepat. terimakasih","5",1,1,1,0
"barang berfungsi dengan baik dan tidak ada cacat","5",1,0,0,0
"Packing rapi, barang baguus, mudah2an awet. Terima kasih","5",1,1,0,0
